product,market,month,demand,allocation,absdiff,reldiff
MegaTwin,Spain,Mar-07,32,29,3,9.090909090909092
MegaTwin,Italy,Jan-07,88,78,10,11.235955056179776
MegaTwin,Italy,Feb-07,92,82,10,10.75268817204301
MegaTwin,Italy,Mar-07,90,81,9,9.89010989010989
MegaTwin,China,Jan-07,0,0,0,100
MegaTwin,China,Feb-07,9,9,0,0
MegaTwin,China,Mar-07,7,7,0,0
MegaTwin,Japan,Jan-07,57,51,6,10.344827586206897
MegaTwin,Japan,Feb-07,61,54,7,11.290322580645162
MegaTwin,Japan,Mar-07,56,50,6,10.526315789473685
ST900,US,Jan-07,43,5,38,86.36363636363636
ST900,US,Feb-07,40,2,38,92.6829268292683
ST900,US,Mar-07,40,1,39,95.1219512195122
ST900,Canada,Jan-07,9,2,7,70
ST900,Canada,Feb-07,7,0,7,100
ST900,Canada,Mar-07,5,0,5,100
ST900,Brazil,Jan-07,19,3,16,80
ST900,Brazil,Feb-07,17,1,16,88.88888888888889
ST900,Brazil,Mar-07,20,0,20,100
ST900,Argentina,Jan-07,76,22,54,70.12987012987013
ST900,Argentina,Feb-07,79,24,55,68.75
ST900,Argentina,Mar-07,72,18,54,73.97260273972603
ST900,UK,Jan-07,41,2,39,92.85714285714286
ST900,UK,Feb-07,45,5,40,86.95652173913044
ST900,UK,Mar-07,46,1,45,95.74468085106383
ST900,France,Jan-07,64,8,56,86.15384615384616
ST900,France,Feb-07,59,3,56,93.33333333333333
ST900,France,Mar-07,58,1,57,96.61016949152543
ST900,Germany,Jan-07,39,3,36,90
ST900,Germany,Feb-07,46,5,41,87.23404255319149
ST900,Germany,Mar-07,43,1,42,95.45454545454545
ST900,Spain,Jan-07,42,3,39,90.69767441860465
ST900,Spain,Feb-07,42,4,38,88.37209302325581
ST900,Spain,Mar-07,44,1,43,95.55555555555556
ST900,Italy,Jan-07,53,4,49,90.74074074074075
ST900,Italy,Feb-07,52,4,48,90.56603773584905
ST900,Italy,Mar-07,56,1,55,96.49122807017544
ST900,China,Jan-07,55,8,47,83.92857142857143
ST900,China,Feb-07,49,2,47,94
ST900,China,Mar-07,45,0,45,100
ST900,Japan,Jan-07,45,3,42,91.30434782608695
ST900,Japan,Feb-07,48,6,42,85.71428571428571
ST900,Japan,Mar-07,41,0,41,100
ST1200,US,Jan-07,58,49,9,15.254237288135593
ST1200,US,Feb-07,62,52,10,15.873015873015873
ST1200,US,Mar-07,64,55,9,13.846153846153847
ST1200,Canada,Jan-07,13,10,3,21.428571428571427
ST1200,Canada,Feb-07,16,13,3,17.647058823529413
ST1200,Canada,Mar-07,10,3,7,63.63636363636363
ST1200,Brazil,Jan-07,58,52,6,10.169491525423728
ST1200,Brazil,Feb-07,60,53,7,11.475409836065573
ST1200,Brazil,Mar-07,53,47,6,11.11111111111111
ST1200,Argentina,Jan-07,86,76,10,11.494252873563218
ST1200,Argentina,Feb-07,91,81,10,10.869565217391305
ST1200,Argentina,Mar-07,91,82,9,9.782608695652174
ST1200,UK,Jan-07,93,83,10,10.638297872340425
ST1200,UK,Feb-07,101,90,11,10.784313725490197
ST1200,UK,Mar-07,95,85,10,10.416666666666666
ST1200,France,Jan-07,81,70,11,13.414634146341463
ST1200,France,Feb-07,81,70,11,13.414634146341463
ST1200,France,Mar-07,82,72,10,12.048192771084338
ST1200,Germany,Jan-07,27,20,7,25
ST1200,Germany,Feb-07,23,16,7,29.166666666666668
ST1200,Germany,Mar-07,22,15,7,30.434782608695652
ST1200,Spain,Jan-07,95,84,11,11.458333333333334
ST1200,Spain,Feb-07,89,78,11,12.222222222222221
ST1200,Spain,Mar-07,95,85,10,10.416666666666666
ST1200,Italy,Jan-07,67,55,12,17.647058823529413
ST1200,Italy,Feb-07,66,54,12,17.91044776119403
ST1200,Italy,Mar-07,68,57,11,15.942028985507246
ST1200,China,Jan-07,99,88,11,11
ST1200,China,Feb-07,100,89,11,10.891089108910892
ST1200,China,Mar-07,100,89,11,10.891089108910892
ST1200,Japan,Jan-07,98,87,11,11.11111111111111
ST1200,Japan,Feb-07,99,88,11,11
ST1200,Japan,Mar-07,107,96,11,10.185185185185185
ST1200R,US,Jan-07,76,68,8,10.38961038961039
ST1200R,US,Feb-07,73,64,9,12.162162162162161
ST1200R,US,Mar-07,79,71,8,10
ST1200R,Canada,Jan-07,67,60,7,10.294117647058824
ST1200R,Canada,Feb-07,75,67,8,10.526315789473685
ST1200R,Canada,Mar-07,77,70,7,8.974358974358974
ST1200R,Brazil,Jan-07,15,13,2,12.5
ST1200R,Brazil,Feb-07,14,13,1,6.666666666666667
ST1200R,Brazil,Mar-07,18,16,2,10.526315789473685
ST1200R,Argentina,Jan-07,47,42,5,10.416666666666666
ST1200R,Argentina,Feb-07,47,41,6,12.5
ST1200R,Argentina,Mar-07,54,49,5,9.090909090909092
ST1200R,UK,Jan-07,108,96,12,11.009174311926605
ST1200R,UK,Feb-07,110,98,12,10.81081081081081
ST1200R,UK,Mar-07,113,101,12,10.526315789473685
ST1200R,France,Jan-07,69,61,8,11.428571428571429
ST1200R,France,Feb-07,68,60,8,11.594202898550725
ST1200R,France,Mar-07,69,62,7,10
ST1200R,Germany,Jan-07,32,28,4,12.121212121212121
ST1200R,Germany,Feb-07,27,24,3,10.714285714285714
ST1200R,Germany,Mar-07,27,23,4,14.285714285714286
ST1200R,Spain,Jan-07,47,42,5,10.416666666666666
ST1200R,Spain,Feb-07,54,48,6,10.909090909090908
ST1200R,Spain,Mar-07,58,53,5,8.474576271186441
ST1200R,Italy,Jan-07,9,8,1,10
ST1200R,Italy,Feb-07,7,6,1,12.5
ST1200R,Italy,Mar-07,6,5,1,14.285714285714286
ST1200R,China,Jan-07,86,76,10,11.494252873563218
ST1200R,China,Feb-07,88,78,10,11.235955056179776
ST1200R,China,Mar-07,85,76,9,10.465116279069768
ST1200R,Japan,Jan-07,53,47,6,11.11111111111111
ST1200R,Japan,Feb-07,47,41,6,12.5
ST1200R,Japan,Mar-07,52,46,6,11.320754716981131
Bandit 900,US,Jan-07,55,8,47,83.92857142857143
Bandit 900,US,Feb-07,48,1,47,95.91836734693878
Bandit 900,US,Mar-07,54,1,53,96.36363636363636
Bandit 900,Canada,Jan-07,60,5,55,90.1639344262295
Bandit 900,Canada,Feb-07,60,5,55,90.1639344262295
Bandit 900,Canada,Mar-07,64,1,63,96.92307692307692
Bandit 900,Brazil,Jan-07,106,32,74,69.1588785046729
Bandit 900,Brazil,Feb-07,111,36,75,66.96428571428571
Bandit 900,Brazil,Mar-07,107,32,75,69.44444444444444
Bandit 900,Argentina,Jan-07,66,4,62,92.53731343283582
Bandit 900,Argentina,Feb-07,75,8,67,88.15789473684211
Bandit 900,Argentina,Mar-07,71,1,70,97.22222222222223
Bandit 900,UK,Jan-07,107,32,75,69.44444444444444
Bandit 900,UK,Feb-07,112,37,75,66.3716814159292
Bandit 900,UK,Mar-07,107,32,75,69.44444444444444
Bandit 900,France,Jan-07,101,19,82,80.3921568627451
Bandit 900,France,Feb-07,103,21,82,78.84615384615384
Bandit 900,France,Mar-07,109,15,94,85.45454545454545
Bandit 900,Germany,Jan-07,27,2,25,89.28571428571429
Bandit 900,Germany,Feb-07,28,3,25,86.20689655172414
Bandit 900,Germany,Mar-07,27,1,26,92.85714285714286
Bandit 900,Spain,Jan-07,47,4,43,89.58333333333333
Bandit 900,Spain,Feb-07,47,4,43,89.58333333333333
Bandit 900,Spain,Mar-07,48,1,47,95.91836734693878
Bandit 900,Italy,Jan-07,109,30,79,71.81818181818181
Bandit 900,Italy,Feb-07,104,17,87,82.85714285714286
Bandit 900,Italy,Mar-07,107,20,87,80.55555555555556
Bandit 900,China,Jan-07,55,7,48,85.71428571428571
Bandit 900,China,Feb-07,51,2,49,94.23076923076923
Bandit 900,China,Mar-07,55,1,54,96.42857142857143
Bandit 900,Japan,Jan-07,52,4,48,90.56603773584905
Bandit 900,Japan,Feb-07,61,6,55,88.70967741935483
Bandit 900,Japan,Mar-07,57,1,56,96.55172413793103
Bandit 1200,US,Jan-07,97,55,42,42.857142857142854
Bandit 1200,US,Feb-07,100,42,58,57.42574257425743
Bandit 1200,US,Mar-07,95,31,64,66.66666666666667
Bandit 1200,Canada,Jan-07,62,19,43,68.25396825396825
Bandit 1200,Canada,Feb-07,64,21,43,66.15384615384616
Bandit 1200,Canada,Mar-07,67,4,63,92.6470588235294
Bandit 1200,Brazil,Jan-07,66,24,42,62.6865671641791
Bandit 1200,Brazil,Feb-07,72,30,42,57.534246575342465
Bandit 1200,Brazil,Mar-07,68,10,58,84.05797101449275
Bandit 1200,Argentina,Jan-07,83,29,54,64.28571428571429
Bandit 1200,Argentina,Feb-07,90,37,53,58.24175824175824
Bandit 1200,Argentina,Mar-07,93,41,52,55.319148936170215
Bandit 1200,UK,Jan-07,115,63,52,44.827586206896555
Bandit 1200,UK,Feb-07,109,55,54,49.09090909090909
Bandit 1200,UK,Mar-07,117,60,57,48.30508474576271
Bandit 1200,France,Jan-07,22,3,19,82.6086956521739
Bandit 1200,France,Feb-07,20,1,19,90.47619047619048
Bandit 1200,France,Mar-07,26,1,25,92.5925925925926
Bandit 1200,Germany,Jan-07,56,12,44,77.19298245614036
Bandit 1200,Germany,Feb-07,58,7,51,86.44067796610169
Bandit 1200,Germany,Mar-07,58,1,57,96.61016949152543
Bandit 1200,Spain,Jan-07,108,49,59,54.12844036697248
Bandit 1200,Spain,Feb-07,115,55,60,51.724137931034484
Bandit 1200,Spain,Mar-07,111,52,59,52.67857142857143
Bandit 1200,Italy,Jan-07,36,4,32,86.48648648648648
Bandit 1200,Italy,Feb-07,34,1,33,94.28571428571429
Bandit 1200,Italy,Mar-07,34,1,33,94.28571428571429
Bandit 1200,China,Jan-07,101,42,59,57.84313725490196
Bandit 1200,China,Feb-07,104,42,62,59.04761904761905
Bandit 1200,China,Mar-07,102,40,62,60.19417475728155
Bandit 1200,Japan,Jan-07,32,5,27,81.81818181818181
Bandit 1200,Japan,Feb-07,28,0,28,100
Bandit 1200,Japan,Mar-07,35,1,34,94.44444444444444
Bandit 1200S,US,Jan-07,59,53,6,10
Bandit 1200S,US,Feb-07,56,49,7,12.280701754385966
Bandit 1200S,US,Mar-07,59,52,7,11.666666666666666
Bandit 1200S,Canada,Jan-07,64,58,6,9.23076923076923
Bandit 1200S,Canada,Feb-07,66,59,7,10.447761194029852
Bandit 1200S,Canada,Mar-07,64,56,8,12.307692307692308
Bandit 1200S,Brazil,Jan-07,31,27,4,12.5
Bandit 1200S,Brazil,Feb-07,36,30,6,16.216216216216218
Bandit 1200S,Brazil,Mar-07,34,28,6,17.142857142857142
Bandit 1200S,Argentina,Jan-07,90,81,9,9.89010989010989
Bandit 1200S,Argentina,Feb-07,96,86,10,10.309278350515465
Bandit 1200S,Argentina,Mar-07,99,88,11,11
Bandit 1200S,UK,Jan-07,69,62,7,10
Bandit 1200S,UK,Feb-07,63,55,8,12.5
Bandit 1200S,UK,Mar-07,68,60,8,11.594202898550725
Bandit 1200S,France,Jan-07,99,89,10,10
Bandit 1200S,France,Feb-07,100,88,12,11.881188118811881
Bandit 1200S,France,Mar-07,104,93,11,10.476190476190476
Bandit 1200S,Germany,Jan-07,58,53,5,8.474576271186441
Bandit 1200S,Germany,Feb-07,59,52,7,11.666666666666666
Bandit 1200S,Germany,Mar-07,53,46,7,12.962962962962964
Bandit 1200S,Spain,Jan-07,11,9,2,16.666666666666668
Bandit 1200S,Spain,Feb-07,11,9,2,16.666666666666668
Bandit 1200S,Spain,Mar-07,9,5,4,40
Bandit 1200S,Italy,Jan-07,26,24,2,7.407407407407407
Bandit 1200S,Italy,Feb-07,24,20,4,16
Bandit 1200S,Italy,Mar-07,23,20,3,12.5
Bandit 1200S,China,Jan-07,80,71,9,11.11111111111111
Bandit 1200S,China,Feb-07,89,80,9,10
Bandit 1200S,China,Mar-07,84,75,9,10.588235294117647
Bandit 1200S,Japan,Jan-07,89,80,9,10
Bandit 1200S,Japan,Feb-07,90,79,11,12.087912087912088
Bandit 1200S,Japan,Mar-07,94,84,10,10.526315789473685
Enduro 350,US,Jan-07,62,14,48,76.19047619047619
Enduro 350,US,Feb-07,59,7,52,86.66666666666667
Enduro 350,US,Mar-07,60,9,51,83.60655737704919
Enduro 350,Canada,Jan-07,3,0,3,100
Enduro 350,Canada,Feb-07,4,0,4,100
Enduro 350,Canada,Mar-07,5,0,5,100
Enduro 350,Brazil,Jan-07,26,1,25,92.5925925925926
Enduro 350,Brazil,Feb-07,29,3,26,86.66666666666667
Enduro 350,Brazil,Mar-07,21,0,21,100
Enduro 350,Argentina,Jan-07,77,29,48,61.53846153846154
Enduro 350,Argentina,Feb-07,70,15,55,77.46478873239437
Enduro 350,Argentina,Mar-07,73,18,55,74.32432432432432
Enduro 350,UK,Jan-07,10,1,9,81.81818181818181
Enduro 350,UK,Feb-07,19,2,17,85
Enduro 350,UK,Mar-07,17,0,17,100
Enduro 350,France,Jan-07,108,56,52,47.706422018348626
Enduro 350,France,Feb-07,106,44,62,57.94392523364486
Enduro 350,France,Mar-07,102,41,61,59.22330097087379
Enduro 350,Germany,Jan-07,10,1,9,81.81818181818181
Enduro 350,Germany,Feb-07,10,1,9,81.81818181818181
Enduro 350,Germany,Mar-07,13,0,13,100
Enduro 350,Spain,Jan-07,98,52,46,46.464646464646464
Enduro 350,Spain,Feb-07,95,49,46,47.916666666666664
Enduro 350,Spain,Mar-07,93,27,66,70.2127659574468
Enduro 350,Italy,Jan-07,4,1,3,60
Enduro 350,Italy,Feb-07,13,1,12,85.71428571428571
Enduro 350,Italy,Mar-07,5,0,5,100
Enduro 350,China,Jan-07,94,41,53,55.78947368421053
Enduro 350,China,Feb-07,93,40,53,56.38297872340426
Enduro 350,China,Mar-07,88,36,52,58.42696629213483
Enduro 350,Japan,Jan-07,79,21,58,72.5
Enduro 350,Japan,Feb-07,74,16,58,77.33333333333333
Enduro 350,Japan,Mar-07,78,18,60,75.9493670886076
Enduro 450,US,Jan-07,58,4,54,91.52542372881356
Enduro 450,US,Feb-07,66,7,59,88.05970149253731
Enduro 450,US,Mar-07,66,1,65,97.01492537313433
Enduro 450,Canada,Jan-07,28,3,25,86.20689655172414
Enduro 450,Canada,Feb-07,27,2,25,89.28571428571429
Enduro 450,Canada,Mar-07,28,1,27,93.10344827586206
Enduro 450,Brazil,Jan-07,67,6,61,89.70588235294117
Enduro 450,Brazil,Feb-07,69,8,61,87.14285714285714
Enduro 450,Brazil,Mar-07,70,10,60,84.50704225352112
Enduro 450,Argentina,Jan-07,17,3,14,77.77777777777777
Enduro 450,Argentina,Feb-07,15,0,15,100
Enduro 450,Argentina,Mar-07,16,0,16,100
Enduro 450,UK,Jan-07,60,5,55,90.1639344262295
Enduro 450,UK,Feb-07,61,5,56,90.3225806451613
Enduro 450,UK,Mar-07,66,1,65,97.01492537313433
Enduro 450,France,Jan-07,71,7,64,88.88888888888889
Enduro 450,France,Feb-07,69,4,65,92.85714285714286
Enduro 450,France,Mar-07,73,1,72,97.29729729729729
Enduro 450,Germany,Jan-07,102,33,69,66.99029126213593
Enduro 450,Germany,Feb-07,103,34,69,66.34615384615384
Enduro 450,Germany,Mar-07,108,39,69,63.30275229357798
Enduro 450,Spain,Jan-07,38,2,36,92.3076923076923
Enduro 450,Spain,Feb-07,40,4,36,87.8048780487805
Enduro 450,Spain,Mar-07,44,1,43,95.55555555555556
Enduro 450,Italy,Jan-07,36,2,34,91.89189189189189
Enduro 450,Italy,Feb-07,41,4,37,88.0952380952381
Enduro 450,Italy,Mar-07,41,1,40,95.23809523809524
Enduro 450,China,Jan-07,52,4,48,90.56603773584905
Enduro 450,China,Feb-07,56,6,50,87.71929824561404
Enduro 450,China,Mar-07,55,1,54,96.42857142857143
Enduro 450,Japan,Jan-07,75,8,67,88.15789473684211
Enduro 450,Japan,Feb-07,71,5,66,91.66666666666667
Enduro 450,Japan,Mar-07,68,1,67,97.10144927536231
Enduro 550,US,Jan-07,90,80,10,10.989010989010989
Enduro 550,US,Feb-07,92,82,10,10.75268817204301
Enduro 550,US,Mar-07,100,90,10,9.900990099009901
Enduro 550,Canada,Jan-07,63,56,7,10.9375
Enduro 550,Canada,Feb-07,68,61,7,10.144927536231885
Enduro 550,Canada,Mar-07,66,59,7,10.447761194029852
Enduro 550,Brazil,Jan-07,25,22,3,11.538461538461538
Enduro 550,Brazil,Feb-07,18,15,3,15.789473684210526
Enduro 550,Brazil,Mar-07,18,16,2,10.526315789473685
Enduro 550,Argentina,Jan-07,56,50,6,10.526315789473685
Enduro 550,Argentina,Feb-07,58,51,7,11.864406779661017
Enduro 550,Argentina,Mar-07,56,50,6,10.526315789473685
Enduro 550,UK,Jan-07,50,44,6,11.764705882352942
Enduro 550,UK,Feb-07,52,46,6,11.320754716981131
Enduro 550,UK,Mar-07,53,48,5,9.25925925925926
Enduro 550,France,Jan-07,40,36,4,9.75609756097561
Enduro 550,France,Feb-07,40,35,5,12.195121951219512
Enduro 550,France,Mar-07,39,35,4,10
Enduro 550,Germany,Jan-07,89,79,10,11.11111111111111
Enduro 550,Germany,Feb-07,91,81,10,10.869565217391305
Enduro 550,Germany,Mar-07,97,87,10,10.204081632653061
Enduro 550,Spain,Jan-07,57,51,6,10.344827586206897
Enduro 550,Spain,Feb-07,63,56,7,10.9375
Enduro 550,Spain,Mar-07,65,59,6,9.090909090909092
Enduro 550,Italy,Jan-07,95,85,10,10.416666666666666
Enduro 550,Italy,Feb-07,99,88,11,11
Enduro 550,Italy,Mar-07,106,95,11,10.280373831775702
Enduro 550,China,Jan-07,103,92,11,10.576923076923077
Enduro 550,China,Feb-07,103,91,12,11.538461538461538
Enduro 550,China,Mar-07,109,98,11,10
Enduro 550,Japan,Jan-07,84,75,9,10.588235294117647
Enduro 550,Japan,Feb-07,86,76,10,11.494252873563218
Enduro 550,Japan,Mar-07,85,76,9,10.465116279069768
CRX500,US,Jan-07,61,4,57,91.93548387096774
CRX500,US,Feb-07,65,7,58,87.87878787878788
CRX500,US,Mar-07,66,1,65,97.01492537313433
CRX500,Canada,Jan-07,26,1,25,92.5925925925926
CRX500,Canada,Feb-07,29,3,26,86.66666666666667
CRX500,Canada,Mar-07,22,0,22,100
CRX500,Brazil,Jan-07,72,7,65,89.04109589041096
CRX500,Brazil,Feb-07,70,5,65,91.54929577464789
CRX500,Brazil,Mar-07,73,1,72,97.29729729729729
CRX500,Argentina,Jan-07,88,10,78,87.64044943820225
CRX500,Argentina,Feb-07,83,4,79,94.04761904761905
CRX500,Argentina,Mar-07,81,2,79,96.34146341463415
CRX500,UK,Jan-07,82,8,74,89.1566265060241
CRX500,UK,Feb-07,80,6,74,91.35802469135803
CRX500,UK,Mar-07,83,2,81,96.42857142857143
CRX500,France,Jan-07,64,6,58,89.23076923076923
CRX500,France,Feb-07,63,5,58,90.625
CRX500,France,Mar-07,64,1,63,96.92307692307692
CRX500,Germany,Jan-07,60,6,54,88.52459016393442
CRX500,Germany,Feb-07,57,4,53,91.37931034482759
CRX500,Germany,Mar-07,54,1,53,96.36363636363636
CRX500,Spain,Jan-07,54,4,50,90.9090909090909
CRX500,Spain,Feb-07,57,6,51,87.93103448275862
CRX500,Spain,Mar-07,54,1,53,96.36363636363636
CRX500,Italy,Jan-07,104,8,96,91.42857142857143
CRX500,Italy,Feb-07,107,10,97,89.81481481481481
CRX500,Italy,Mar-07,100,2,98,97.02970297029702
CRX500,China,Jan-07,50,7,43,84.31372549019608
CRX500,China,Feb-07,43,0,43,100
CRX500,China,Mar-07,50,1,49,96.07843137254902
CRX500,Japan,Jan-07,87,8,79,89.77272727272727
CRX500,Japan,Feb-07,87,8,79,89.77272727272727
CRX500,Japan,Mar-07,79,1,78,97.5
CRS550,US,Jan-07,96,65,31,31.95876288659794
CRS550,US,Feb-07,93,61,32,34.04255319148936
CRS550,US,Mar-07,97,66,31,31.632653061224488
CRS550,Canada,Jan-07,77,41,36,46.15384615384615
CRS550,Canada,Feb-07,70,34,36,50.70422535211268
CRS550,Canada,Mar-07,78,38,40,50.63291139240506
CRS550,Brazil,Jan-07,109,81,28,25.454545454545453
CRS550,Brazil,Feb-07,112,84,28,24.778761061946902
CRS550,Brazil,Mar-07,110,68,42,37.83783783783784
CRS550,Argentina,Jan-07,110,67,43,38.73873873873874
CRS550,Argentina,Feb-07,112,69,43,38.05309734513274
CRS550,Argentina,Mar-07,105,62,43,40.56603773584906
CRS550,UK,Jan-07,110,63,47,42.34234234234234
CRS550,UK,Feb-07,106,59,47,43.925233644859816
CRS550,UK,Mar-07,112,65,47,41.5929203539823
CRS550,France,Jan-07,67,37,30,44.11764705882353
CRS550,France,Feb-07,68,38,30,43.47826086956522
CRS550,France,Mar-07,67,35,32,47.05882352941177
CRS550,Germany,Jan-07,61,34,27,43.54838709677419
CRS550,Germany,Feb-07,66,39,27,40.298507462686565
CRS550,Germany,Mar-07,62,20,42,66.66666666666667
CRS550,Spain,Jan-07,64,32,32,49.23076923076923
CRS550,Spain,Feb-07,66,34,32,47.76119402985075
CRS550,Spain,Mar-07,64,23,41,63.07692307692308
CRS550,Italy,Jan-07,70,43,27,38.028169014084504
CRS550,Italy,Feb-07,62,16,46,73.01587301587301
CRS550,Italy,Mar-07,66,20,46,68.65671641791045
CRS550,China,Jan-07,23,2,21,87.5
CRS550,China,Feb-07,22,1,21,91.30434782608695
CRS550,China,Mar-07,26,1,25,92.5925925925926
CRS550,Japan,Jan-07,22,4,18,78.26086956521739
CRS550,Japan,Feb-07,16,0,16,100
CRS550,Japan,Mar-07,15,0,15,100
CRX600,US,Jan-07,66,35,31,46.26865671641791
CRX600,US,Feb-07,66,35,31,46.26865671641791
CRX600,US,Mar-07,63,26,37,57.8125
CRX600,Canada,Jan-07,10,1,9,81.81818181818181
CRX600,Canada,Feb-07,3,0,3,100
CRX600,Canada,Mar-07,7,0,7,100
CRX600,Brazil,Jan-07,104,71,33,31.428571428571427
CRX600,Brazil,Feb-07,110,76,34,30.63063063063063
CRX600,Brazil,Mar-07,105,72,33,31.132075471698112
CRX600,Argentina,Jan-07,48,18,30,61.224489795918366
CRX600,Argentina,Feb-07,41,11,30,71.42857142857143
CRX600,Argentina,Mar-07,42,12,30,69.76744186046511
CRX600,UK,Jan-07,40,12,28,68.29268292682927
CRX600,UK,Feb-07,40,12,28,68.29268292682927
CRX600,UK,Mar-07,37,10,27,71.05263157894737
CRX600,France,Jan-07,54,26,28,50.90909090909091
CRX600,France,Feb-07,52,18,34,64.15094339622641
CRX600,France,Mar-07,56,18,38,66.66666666666667
CRX600,Germany,Jan-07,17,1,16,88.88888888888889
CRX600,Germany,Feb-07,22,2,20,86.95652173913044
CRX600,Germany,Mar-07,20,0,20,100
CRX600,Spain,Jan-07,49,16,33,66
CRX600,Spain,Feb-07,52,19,33,62.264150943396224
CRX600,Spain,Mar-07,48,16,32,65.3061224489796
CRX600,Italy,Jan-07,69,34,35,50
CRX600,Italy,Feb-07,73,38,35,47.2972972972973
CRX600,Italy,Mar-07,73,38,35,47.2972972972973
CRX600,China,Jan-07,72,43,29,39.726027397260275
CRX600,China,Feb-07,76,47,29,37.66233766233766
CRX600,China,Mar-07,78,43,35,44.30379746835443
CRX600,Japan,Jan-07,76,39,37,48.05194805194805
CRX600,Japan,Feb-07,77,40,37,47.43589743589744
CRX600,Japan,Mar-07,74,37,37,49.333333333333336
CRX650,US,Jan-07,42,38,4,9.30232558139535
CRX650,US,Feb-07,42,37,5,11.627906976744185
CRX650,US,Mar-07,45,40,5,10.869565217391305
CRX650,Canada,Jan-07,63,56,7,10.9375
CRX650,Canada,Feb-07,65,58,7,10.606060606060606
CRX650,Canada,Mar-07,70,63,7,9.859154929577464
CRX650,Brazil,Jan-07,100,89,11,10.891089108910892
CRX650,Brazil,Feb-07,107,96,11,10.185185185185185
CRX650,Brazil,Mar-07,105,94,11,10.377358490566039
CRX650,Argentina,Jan-07,62,55,7,11.11111111111111
CRX650,Argentina,Feb-07,58,51,7,11.864406779661017
CRX650,Argentina,Mar-07,63,56,7,10.9375
CRX650,UK,Jan-07,101,90,11,10.784313725490197
CRX650,UK,Feb-07,97,85,12,12.244897959183673
CRX650,UK,Mar-07,102,91,11,10.679611650485437
CRX650,France,Jan-07,52,47,5,9.433962264150944
CRX650,France,Feb-07,55,49,6,10.714285714285714
CRX650,France,Mar-07,61,55,6,9.67741935483871
CRX650,Germany,Jan-07,37,33,4,10.526315789473685
CRX650,Germany,Feb-07,42,38,4,9.30232558139535
CRX650,Germany,Mar-07,37,33,4,10.526315789473685
CRX650,Spain,Jan-07,98,87,11,11.11111111111111
CRX650,Spain,Feb-07,95,84,11,11.458333333333334
CRX650,Spain,Mar-07,98,87,11,11.11111111111111
CRX650,Italy,Jan-07,69,62,7,10
CRX650,Italy,Feb-07,71,63,8,11.11111111111111
CRX650,Italy,Mar-07,69,61,8,11.428571428571429
CRX650,China,Jan-07,41,37,4,9.523809523809524
CRX650,China,Feb-07,41,36,5,11.904761904761905
CRX650,China,Mar-07,50,45,5,9.803921568627452
CRX650,Japan,Jan-07,85,76,9,10.465116279069768
CRX650,Japan,Feb-07,92,82,10,10.75268817204301
CRX650,Japan,Mar-07,93,84,9,9.574468085106384
