Markets,Months,Products,value
China,Feb-07,Bandit 900,5
China,Mar-07,Bandit 900,1
China,Jan-07,Bandit 1200,76
China,Feb-07,Bandit 1200,42
China,Mar-07,Bandit 1200,40
China,Jan-07,Bandit 1200S,80
China,Feb-07,Bandit 1200S,89
China,Mar-07,Bandit 1200S,84
China,Jan-07,Enduro 350,38
China,Feb-07,Enduro 350,74
China,Mar-07,Enduro 350,36
China,Jan-07,Enduro 450,21
China,Feb-07,Enduro 450,6
China,Mar-07,Enduro 450,1
China,Jan-07,Enduro 550,103
China,Feb-07,Enduro 550,103
China,Mar-07,Enduro 550,109
China,Jan-07,CRX500,20
China,Feb-07,CRX500,4
China,Mar-07,CRX500,1
China,Jan-07,CRS550,9
China,Feb-07,CRS550,2
China,Mar-07,CRS550,1
China,Jan-07,CRX600,38
China,Feb-07,CRX600,76
China,Mar-07,CRX600,43
China,Jan-07,CRX650,41
China,Feb-07,CRX650,41
China,Mar-07,CRX650,50
Japan,Jan-07,200S,26
Japan,Feb-07,200S,42
Japan,Mar-07,200S,58
Japan,Jan-07,300S,11
Japan,Feb-07,300S,7
Japan,Mar-07,300S,12
Japan,Jan-07,600S,11
Japan,Feb-07,600S,20
Japan,Mar-07,600S,16
Japan,Jan-07,626S,83
Japan,Feb-07,626S,85
Japan,Mar-07,626S,86
Japan,Jan-07,676S,47
Japan,Feb-07,676S,56
Japan,Mar-07,676S,59
Japan,Jan-07,676RS,72
Japan,Feb-07,676RS,68
Japan,Mar-07,676RS,70
Japan,Jan-07,900S,39
Japan,Feb-07,900S,38
Japan,Mar-07,900S,37
Japan,Jan-07,929S,22
Japan,Feb-07,929S,23
Japan,Mar-07,929S,23
Japan,Jan-07,996S,31
Japan,Feb-07,996S,51
Japan,Mar-07,996S,31
Japan,Jan-07,996RS,24
Japan,Feb-07,996RS,23
Japan,Mar-07,996RS,23
Japan,Jan-07,RoadStar,62
Japan,Feb-07,RoadStar,29
Japan,Mar-07,RoadStar,23
Japan,Jan-07,RoadLiner,28
Japan,Feb-07,RoadLiner,24
Japan,Mar-07,RoadLiner,22
Japan,Jan-07,Victory,5
Japan,Feb-07,Victory,1
Japan,Mar-07,Victory,0
Japan,Jan-07,Boulevard,82
Japan,Feb-07,Boulevard,81
Japan,Mar-07,Boulevard,74
Japan,Jan-07,KingTwin,18
Japan,Feb-07,KingTwin,5
Japan,Mar-07,KingTwin,1
Japan,Jan-07,MegaTwin,57
Japan,Feb-07,MegaTwin,61
Japan,Mar-07,MegaTwin,56
Japan,Jan-07,ST900,18
Japan,Feb-07,ST900,5
Japan,Mar-07,ST900,1
Japan,Jan-07,ST1200,98
Japan,Feb-07,ST1200,99
Japan,Mar-07,ST1200,107
Japan,Jan-07,ST1200R,53
Japan,Feb-07,ST1200R,47
Japan,Mar-07,ST1200R,52
Japan,Jan-07,Bandit 900,21
Japan,Feb-07,Bandit 900,6
Japan,Mar-07,Bandit 900,1
Japan,Jan-07,Bandit 1200,13
Japan,Feb-07,Bandit 1200,3
Japan,Mar-07,Bandit 1200,1
Japan,Jan-07,Bandit 1200S,89
Japan,Feb-07,Bandit 1200S,90
Japan,Mar-07,Bandit 1200S,94
Japan,Jan-07,Enduro 350,32
Japan,Feb-07,Enduro 350,31
Japan,Mar-07,Enduro 350,18
Japan,Jan-07,Enduro 450,31
Japan,Feb-07,Enduro 450,7
Japan,Mar-07,Enduro 450,1
Japan,Jan-07,Enduro 550,84
Japan,Feb-07,Enduro 550,86
Japan,Mar-07,Enduro 550,85
Japan,Jan-07,CRX500,35
Japan,Feb-07,CRX500,9
Japan,Mar-07,CRX500,2
Japan,Jan-07,CRS550,9
Japan,Feb-07,CRS550,2
Japan,Mar-07,CRS550,0
Japan,Jan-07,CRX600,59
Japan,Feb-07,CRX600,8
Japan,Mar-07,CRX600,74
Japan,Jan-07,CRX650,85
Japan,Feb-07,CRX650,92
Japan,Mar-07,CRX650,93
