Products,Markets,Period,value
RoadLiner,APAC#,Jan 2020,0
RoadLiner,APAC#,Feb 2020,0
RoadLiner,APAC#,Mar 2020,0
RoadLiner,APAC#,Apr 2020,0
RoadLiner,APAC#,May 2020,0
RoadLiner,APAC#,Jun 2020,0
RoadLiner,APAC#,Jul 2020,0
RoadLiner,APAC#,Aug 2020,0
RoadLiner,APAC#,Sep 2020,0
RoadLiner,APAC#,Oct 2020,0
RoadLiner,APAC#,Nov 2020,0
RoadLiner,APAC#,Dec 2020,0
RoadLiner,Total Market#,Jan 2020,0
RoadLiner,Total Market#,Feb 2020,0
RoadLiner,Total Market#,Mar 2020,0
RoadLiner,Total Market#,Apr 2020,0
RoadLiner,Total Market#,May 2020,0
RoadLiner,Total Market#,Jun 2020,0
RoadLiner,Total Market#,Jul 2020,0
RoadLiner,Total Market#,Aug 2020,0
RoadLiner,Total Market#,Sep 2020,0
RoadLiner,Total Market#,Oct 2020,0
RoadLiner,Total Market#,Nov 2020,0
RoadLiner,Total Market#,Dec 2020,0
Victory,US,Jan 2020,39
Victory,US,Feb 2020,10
Victory,US,Mar 2020,2
Victory,US,Apr 2020,0
Victory,US,May 2020,0
Victory,US,Jun 2020,0
Victory,US,Jul 2020,0
Victory,US,Aug 2020,0
Victory,US,Sep 2020,0
Victory,US,Oct 2020,0
Victory,US,Nov 2020,0
Victory,US,Dec 2020,0
Victory,Canada,Jan 2020,34
Victory,Canada,Feb 2020,9
Victory,Canada,Mar 2020,2
Victory,Canada,Apr 2020,0
Victory,Canada,May 2020,0
Victory,Canada,Jun 2020,0
Victory,Canada,Jul 2020,0
Victory,Canada,Aug 2020,0
Victory,Canada,Sep 2020,0
Victory,Canada,Oct 2020,0
Victory,Canada,Nov 2020,0
Victory,Canada,Dec 2020,0
Victory,Brazil,Jan 2020,29
Victory,Brazil,Feb 2020,7
Victory,Brazil,Mar 2020,1
Victory,Brazil,Apr 2020,0
Victory,Brazil,May 2020,0
Victory,Brazil,Jun 2020,0
Victory,Brazil,Jul 2020,0
Victory,Brazil,Aug 2020,0
Victory,Brazil,Sep 2020,0
Victory,Brazil,Oct 2020,0
Victory,Brazil,Nov 2020,0
Victory,Brazil,Dec 2020,0
Victory,Argentina,Jan 2020,12
Victory,Argentina,Feb 2020,2
Victory,Argentina,Mar 2020,0
Victory,Argentina,Apr 2020,0
Victory,Argentina,May 2020,0
Victory,Argentina,Jun 2020,0
Victory,Argentina,Jul 2020,0
Victory,Argentina,Aug 2020,0
Victory,Argentina,Sep 2020,0
Victory,Argentina,Oct 2020,0
Victory,Argentina,Nov 2020,0
Victory,Argentina,Dec 2020,0
Victory,UK,Jan 2020,14
Victory,UK,Feb 2020,4
Victory,UK,Mar 2020,1
Victory,UK,Apr 2020,0
Victory,UK,May 2020,0
Victory,UK,Jun 2020,0
Victory,UK,Jul 2020,0
Victory,UK,Aug 2020,0
Victory,UK,Sep 2020,0
Victory,UK,Oct 2020,0
Victory,UK,Nov 2020,0
Victory,UK,Dec 2020,0
Victory,France,Jan 2020,19
Victory,France,Feb 2020,5
Victory,France,Mar 2020,1
Victory,France,Apr 2020,0
Victory,France,May 2020,0
Victory,France,Jun 2020,0
Victory,France,Jul 2020,0
Victory,France,Aug 2020,0
Victory,France,Sep 2020,0
Victory,France,Oct 2020,0
Victory,France,Nov 2020,0
Victory,France,Dec 2020,0
Victory,Germany,Jan 2020,30
Victory,Germany,Feb 2020,8
Victory,Germany,Mar 2020,2
Victory,Germany,Apr 2020,0
Victory,Germany,May 2020,0
Victory,Germany,Jun 2020,0
Victory,Germany,Jul 2020,0
Victory,Germany,Aug 2020,0
Victory,Germany,Sep 2020,0
Victory,Germany,Oct 2020,0
Victory,Germany,Nov 2020,0
Victory,Germany,Dec 2020,0
Victory,Spain,Jan 2020,15
Victory,Spain,Feb 2020,4
Victory,Spain,Mar 2020,1
Victory,Spain,Apr 2020,0
Victory,Spain,May 2020,0
Victory,Spain,Jun 2020,0
Victory,Spain,Jul 2020,0
Victory,Spain,Aug 2020,0
Victory,Spain,Sep 2020,0
Victory,Spain,Oct 2020,0
Victory,Spain,Nov 2020,0
Victory,Spain,Dec 2020,0
Victory,Italy,Jan 2020,35
Victory,Italy,Feb 2020,8
Victory,Italy,Mar 2020,2
Victory,Italy,Apr 2020,0
Victory,Italy,May 2020,0
Victory,Italy,Jun 2020,0
Victory,Italy,Jul 2020,0
Victory,Italy,Aug 2020,0
Victory,Italy,Sep 2020,0
Victory,Italy,Oct 2020,0
Victory,Italy,Nov 2020,0
Victory,Italy,Dec 2020,0
Victory,China,Jan 2020,32
Victory,China,Feb 2020,7
Victory,China,Mar 2020,2
Victory,China,Apr 2020,0
Victory,China,May 2020,0
Victory,China,Jun 2020,0
Victory,China,Jul 2020,0
Victory,China,Aug 2020,0
Victory,China,Sep 2020,0
Victory,China,Oct 2020,0
Victory,China,Nov 2020,0
Victory,China,Dec 2020,0
Victory,Japan,Jan 2020,5
Victory,Japan,Feb 2020,1
Victory,Japan,Mar 2020,0
Victory,Japan,Apr 2020,0
Victory,Japan,May 2020,0
Victory,Japan,Jun 2020,0
Victory,Japan,Jul 2020,0
Victory,Japan,Aug 2020,0
Victory,Japan,Sep 2020,0
Victory,Japan,Oct 2020,0
Victory,Japan,Nov 2020,0
Victory,Japan,Dec 2020,0
Victory,Americas#,Jan 2020,0
Victory,Americas#,Feb 2020,0
Victory,Americas#,Mar 2020,0
Victory,Americas#,Apr 2020,0
Victory,Americas#,May 2020,0
Victory,Americas#,Jun 2020,0
Victory,Americas#,Jul 2020,0
Victory,Americas#,Aug 2020,0
Victory,Americas#,Sep 2020,0
Victory,Americas#,Oct 2020,0
Victory,Americas#,Nov 2020,0
Victory,Americas#,Dec 2020,0
Victory,EMEA#,Jan 2020,0
Victory,EMEA#,Feb 2020,0
Victory,EMEA#,Mar 2020,0
Victory,EMEA#,Apr 2020,0
Victory,EMEA#,May 2020,0
Victory,EMEA#,Jun 2020,0
Victory,EMEA#,Jul 2020,0
Victory,EMEA#,Aug 2020,0
Victory,EMEA#,Sep 2020,0
Victory,EMEA#,Oct 2020,0
Victory,EMEA#,Nov 2020,0
Victory,EMEA#,Dec 2020,0
Victory,APAC#,Jan 2020,0
Victory,APAC#,Feb 2020,0
Victory,APAC#,Mar 2020,0
Victory,APAC#,Apr 2020,0
Victory,APAC#,May 2020,0
Victory,APAC#,Jun 2020,0
Victory,APAC#,Jul 2020,0
Victory,APAC#,Aug 2020,0
Victory,APAC#,Sep 2020,0
Victory,APAC#,Oct 2020,0
Victory,APAC#,Nov 2020,0
Victory,APAC#,Dec 2020,0
Victory,Total Market#,Jan 2020,0
Victory,Total Market#,Feb 2020,0
Victory,Total Market#,Mar 2020,0
Victory,Total Market#,Apr 2020,0
Victory,Total Market#,May 2020,0
Victory,Total Market#,Jun 2020,0
Victory,Total Market#,Jul 2020,0
Victory,Total Market#,Aug 2020,0
Victory,Total Market#,Sep 2020,0
Victory,Total Market#,Oct 2020,0
Victory,Total Market#,Nov 2020,0
Victory,Total Market#,Dec 2020,0
Boulevard,US,Jan 2020,34
Boulevard,US,Feb 2020,9
Boulevard,US,Mar 2020,2
Boulevard,US,Apr 2020,0
Boulevard,US,May 2020,0
Boulevard,US,Jun 2020,0
Boulevard,US,Jul 2020,0
Boulevard,US,Aug 2020,0
Boulevard,US,Sep 2020,0
Boulevard,US,Oct 2020,0
Boulevard,US,Nov 2020,0
Boulevard,US,Dec 2020,0
Boulevard,Canada,Jan 2020,20
Boulevard,Canada,Feb 2020,5
Boulevard,Canada,Mar 2020,1
Boulevard,Canada,Apr 2020,0
Boulevard,Canada,May 2020,0
Boulevard,Canada,Jun 2020,0
Boulevard,Canada,Jul 2020,0
Boulevard,Canada,Aug 2020,0
Boulevard,Canada,Sep 2020,0
Boulevard,Canada,Oct 2020,0
Boulevard,Canada,Nov 2020,0
Boulevard,Canada,Dec 2020,0
Boulevard,Brazil,Jan 2020,4
Boulevard,Brazil,Feb 2020,1
Boulevard,Brazil,Mar 2020,0
Boulevard,Brazil,Apr 2020,0
Boulevard,Brazil,May 2020,0
Boulevard,Brazil,Jun 2020,0
Boulevard,Brazil,Jul 2020,0
Boulevard,Brazil,Aug 2020,0
Boulevard,Brazil,Sep 2020,0
Boulevard,Brazil,Oct 2020,0
Boulevard,Brazil,Nov 2020,0
Boulevard,Brazil,Dec 2020,0
Boulevard,Argentina,Jan 2020,15
Boulevard,Argentina,Feb 2020,4
Boulevard,Argentina,Mar 2020,1
Boulevard,Argentina,Apr 2020,0
Boulevard,Argentina,May 2020,0
Boulevard,Argentina,Jun 2020,0
Boulevard,Argentina,Jul 2020,0
Boulevard,Argentina,Aug 2020,0
Boulevard,Argentina,Sep 2020,0
Boulevard,Argentina,Oct 2020,0
Boulevard,Argentina,Nov 2020,0
Boulevard,Argentina,Dec 2020,0
Boulevard,UK,Jan 2020,15
Boulevard,UK,Feb 2020,4
Boulevard,UK,Mar 2020,1
Boulevard,UK,Apr 2020,0
Boulevard,UK,May 2020,0
Boulevard,UK,Jun 2020,0
Boulevard,UK,Jul 2020,0
Boulevard,UK,Aug 2020,0
Boulevard,UK,Sep 2020,0
Boulevard,UK,Oct 2020,0
Boulevard,UK,Nov 2020,0
Boulevard,UK,Dec 2020,0
Boulevard,France,Jan 2020,10
Boulevard,France,Feb 2020,3
Boulevard,France,Mar 2020,1
Boulevard,France,Apr 2020,0
Boulevard,France,May 2020,0
Boulevard,France,Jun 2020,0
Boulevard,France,Jul 2020,0
Boulevard,France,Aug 2020,0
Boulevard,France,Sep 2020,0
Boulevard,France,Oct 2020,0
Boulevard,France,Nov 2020,0
Boulevard,France,Dec 2020,0
Boulevard,Germany,Jan 2020,2
Boulevard,Germany,Feb 2020,1
Boulevard,Germany,Mar 2020,0
Boulevard,Germany,Apr 2020,0
Boulevard,Germany,May 2020,0
Boulevard,Germany,Jun 2020,0
Boulevard,Germany,Jul 2020,0
Boulevard,Germany,Aug 2020,0
Boulevard,Germany,Sep 2020,0
Boulevard,Germany,Oct 2020,0
Boulevard,Germany,Nov 2020,0
Boulevard,Germany,Dec 2020,0
Boulevard,Spain,Jan 2020,40
Boulevard,Spain,Feb 2020,10
Boulevard,Spain,Mar 2020,2
Boulevard,Spain,Apr 2020,0
Boulevard,Spain,May 2020,0
Boulevard,Spain,Jun 2020,0
Boulevard,Spain,Jul 2020,0
Boulevard,Spain,Aug 2020,0
Boulevard,Spain,Sep 2020,0
Boulevard,Spain,Oct 2020,0
Boulevard,Spain,Nov 2020,0
Boulevard,Spain,Dec 2020,0
Boulevard,Italy,Jan 2020,31
Boulevard,Italy,Feb 2020,8
Boulevard,Italy,Mar 2020,2
Boulevard,Italy,Apr 2020,0
Boulevard,Italy,May 2020,0
Boulevard,Italy,Jun 2020,0
Boulevard,Italy,Jul 2020,0
Boulevard,Italy,Aug 2020,0
Boulevard,Italy,Sep 2020,0
Boulevard,Italy,Oct 2020,0
Boulevard,Italy,Nov 2020,0
Boulevard,Italy,Dec 2020,0
Boulevard,China,Jan 2020,40
Boulevard,China,Feb 2020,9
Boulevard,China,Mar 2020,2
Boulevard,China,Apr 2020,0
Boulevard,China,May 2020,0
Boulevard,China,Jun 2020,0
Boulevard,China,Jul 2020,0
Boulevard,China,Aug 2020,0
Boulevard,China,Sep 2020,0
Boulevard,China,Oct 2020,0
Boulevard,China,Nov 2020,0
Boulevard,China,Dec 2020,0
Boulevard,Japan,Jan 2020,33
Boulevard,Japan,Feb 2020,8
Boulevard,Japan,Mar 2020,1
Boulevard,Japan,Apr 2020,0
Boulevard,Japan,May 2020,0
Boulevard,Japan,Jun 2020,0
Boulevard,Japan,Jul 2020,0
Boulevard,Japan,Aug 2020,0
Boulevard,Japan,Sep 2020,0
Boulevard,Japan,Oct 2020,0
Boulevard,Japan,Nov 2020,0
Boulevard,Japan,Dec 2020,0
Boulevard,Americas#,Jan 2020,0
Boulevard,Americas#,Feb 2020,0
Boulevard,Americas#,Mar 2020,0
Boulevard,Americas#,Apr 2020,0
Boulevard,Americas#,May 2020,0
Boulevard,Americas#,Jun 2020,0
Boulevard,Americas#,Jul 2020,0
Boulevard,Americas#,Aug 2020,0
Boulevard,Americas#,Sep 2020,0
Boulevard,Americas#,Oct 2020,0
Boulevard,Americas#,Nov 2020,0
Boulevard,Americas#,Dec 2020,0
Boulevard,EMEA#,Jan 2020,0
Boulevard,EMEA#,Feb 2020,0
Boulevard,EMEA#,Mar 2020,0
Boulevard,EMEA#,Apr 2020,0
Boulevard,EMEA#,May 2020,0
Boulevard,EMEA#,Jun 2020,0
Boulevard,EMEA#,Jul 2020,0
Boulevard,EMEA#,Aug 2020,0
Boulevard,EMEA#,Sep 2020,0
Boulevard,EMEA#,Oct 2020,0
Boulevard,EMEA#,Nov 2020,0
Boulevard,EMEA#,Dec 2020,0
Boulevard,APAC#,Jan 2020,0
Boulevard,APAC#,Feb 2020,0
Boulevard,APAC#,Mar 2020,0
Boulevard,APAC#,Apr 2020,0
Boulevard,APAC#,May 2020,0
Boulevard,APAC#,Jun 2020,0
Boulevard,APAC#,Jul 2020,0
Boulevard,APAC#,Aug 2020,0
Boulevard,APAC#,Sep 2020,0
Boulevard,APAC#,Oct 2020,0
Boulevard,APAC#,Nov 2020,0
Boulevard,APAC#,Dec 2020,0
Boulevard,Total Market#,Jan 2020,0
Boulevard,Total Market#,Feb 2020,0
Boulevard,Total Market#,Mar 2020,0
Boulevard,Total Market#,Apr 2020,0
Boulevard,Total Market#,May 2020,0
Boulevard,Total Market#,Jun 2020,0
Boulevard,Total Market#,Jul 2020,0
Boulevard,Total Market#,Aug 2020,0
Boulevard,Total Market#,Sep 2020,0
Boulevard,Total Market#,Oct 2020,0
Boulevard,Total Market#,Nov 2020,0
Boulevard,Total Market#,Dec 2020,0
KingTwin,US,Jan 2020,14
KingTwin,US,Feb 2020,4
KingTwin,US,Mar 2020,1
KingTwin,US,Apr 2020,0
KingTwin,US,May 2020,0
KingTwin,US,Jun 2020,0
KingTwin,US,Jul 2020,0
KingTwin,US,Aug 2020,0
KingTwin,US,Sep 2020,0
KingTwin,US,Oct 2020,0
KingTwin,US,Nov 2020,0
KingTwin,US,Dec 2020,0
KingTwin,Canada,Jan 2020,21
KingTwin,Canada,Feb 2020,6
KingTwin,Canada,Mar 2020,1
KingTwin,Canada,Apr 2020,0
KingTwin,Canada,May 2020,0
KingTwin,Canada,Jun 2020,0
KingTwin,Canada,Jul 2020,0
KingTwin,Canada,Aug 2020,0
KingTwin,Canada,Sep 2020,0
KingTwin,Canada,Oct 2020,0
KingTwin,Canada,Nov 2020,0
KingTwin,Canada,Dec 2020,0
KingTwin,Brazil,Jan 2020,9
KingTwin,Brazil,Feb 2020,3
KingTwin,Brazil,Mar 2020,1
KingTwin,Brazil,Apr 2020,0
KingTwin,Brazil,May 2020,0
KingTwin,Brazil,Jun 2020,0
KingTwin,Brazil,Jul 2020,0
KingTwin,Brazil,Aug 2020,0
KingTwin,Brazil,Sep 2020,0
KingTwin,Brazil,Oct 2020,0
KingTwin,Brazil,Nov 2020,0
KingTwin,Brazil,Dec 2020,0
KingTwin,Argentina,Jan 2020,33
KingTwin,Argentina,Feb 2020,9
KingTwin,Argentina,Mar 2020,2
KingTwin,Argentina,Apr 2020,0
KingTwin,Argentina,May 2020,0
KingTwin,Argentina,Jun 2020,0
KingTwin,Argentina,Jul 2020,0
KingTwin,Argentina,Aug 2020,0
KingTwin,Argentina,Sep 2020,0
KingTwin,Argentina,Oct 2020,0
KingTwin,Argentina,Nov 2020,0
KingTwin,Argentina,Dec 2020,0
KingTwin,UK,Jan 2020,32
KingTwin,UK,Feb 2020,9
KingTwin,UK,Mar 2020,2
KingTwin,UK,Apr 2020,0
KingTwin,UK,May 2020,0
KingTwin,UK,Jun 2020,0
KingTwin,UK,Jul 2020,0
KingTwin,UK,Aug 2020,0
KingTwin,UK,Sep 2020,0
KingTwin,UK,Oct 2020,0
KingTwin,UK,Nov 2020,0
KingTwin,UK,Dec 2020,0
KingTwin,France,Jan 2020,38
KingTwin,France,Feb 2020,10
KingTwin,France,Mar 2020,2
KingTwin,France,Apr 2020,0
KingTwin,France,May 2020,0
KingTwin,France,Jun 2020,0
KingTwin,France,Jul 2020,0
KingTwin,France,Aug 2020,0
KingTwin,France,Sep 2020,0
KingTwin,France,Oct 2020,0
KingTwin,France,Nov 2020,0
KingTwin,France,Dec 2020,0
KingTwin,Germany,Jan 2020,47
KingTwin,Germany,Feb 2020,12
KingTwin,Germany,Mar 2020,2
KingTwin,Germany,Apr 2020,0
KingTwin,Germany,May 2020,0
KingTwin,Germany,Jun 2020,0
KingTwin,Germany,Jul 2020,0
KingTwin,Germany,Aug 2020,0
KingTwin,Germany,Sep 2020,0
KingTwin,Germany,Oct 2020,0
KingTwin,Germany,Nov 2020,0
KingTwin,Germany,Dec 2020,0
KingTwin,Spain,Jan 2020,34
KingTwin,Spain,Feb 2020,10
KingTwin,Spain,Mar 2020,2
KingTwin,Spain,Apr 2020,0
KingTwin,Spain,May 2020,0
KingTwin,Spain,Jun 2020,0
KingTwin,Spain,Jul 2020,0
KingTwin,Spain,Aug 2020,0
KingTwin,Spain,Sep 2020,0
KingTwin,Spain,Oct 2020,0
KingTwin,Spain,Nov 2020,0
KingTwin,Spain,Dec 2020,0
KingTwin,Italy,Jan 2020,26
KingTwin,Italy,Feb 2020,7
KingTwin,Italy,Mar 2020,1
KingTwin,Italy,Apr 2020,0
KingTwin,Italy,May 2020,0
KingTwin,Italy,Jun 2020,0
KingTwin,Italy,Jul 2020,0
KingTwin,Italy,Aug 2020,0
KingTwin,Italy,Sep 2020,0
KingTwin,Italy,Oct 2020,0
KingTwin,Italy,Nov 2020,0
KingTwin,Italy,Dec 2020,0
KingTwin,China,Jan 2020,31
KingTwin,China,Feb 2020,8
KingTwin,China,Mar 2020,2
KingTwin,China,Apr 2020,0
KingTwin,China,May 2020,0
KingTwin,China,Jun 2020,0
KingTwin,China,Jul 2020,0
KingTwin,China,Aug 2020,0
KingTwin,China,Sep 2020,0
KingTwin,China,Oct 2020,0
KingTwin,China,Nov 2020,0
KingTwin,China,Dec 2020,0
KingTwin,Japan,Jan 2020,18
KingTwin,Japan,Feb 2020,5
KingTwin,Japan,Mar 2020,1
KingTwin,Japan,Apr 2020,0
KingTwin,Japan,May 2020,0
KingTwin,Japan,Jun 2020,0
KingTwin,Japan,Jul 2020,0
KingTwin,Japan,Aug 2020,0
KingTwin,Japan,Sep 2020,0
KingTwin,Japan,Oct 2020,0
KingTwin,Japan,Nov 2020,0
KingTwin,Japan,Dec 2020,0
KingTwin,Americas#,Jan 2020,0
KingTwin,Americas#,Feb 2020,0
KingTwin,Americas#,Mar 2020,0
KingTwin,Americas#,Apr 2020,0
KingTwin,Americas#,May 2020,0
KingTwin,Americas#,Jun 2020,0
KingTwin,Americas#,Jul 2020,0
KingTwin,Americas#,Aug 2020,0
KingTwin,Americas#,Sep 2020,0
KingTwin,Americas#,Oct 2020,0
KingTwin,Americas#,Nov 2020,0
KingTwin,Americas#,Dec 2020,0
KingTwin,EMEA#,Jan 2020,0
KingTwin,EMEA#,Feb 2020,0
KingTwin,EMEA#,Mar 2020,0
KingTwin,EMEA#,Apr 2020,0
KingTwin,EMEA#,May 2020,0
KingTwin,EMEA#,Jun 2020,0
KingTwin,EMEA#,Jul 2020,0
KingTwin,EMEA#,Aug 2020,0
KingTwin,EMEA#,Sep 2020,0
KingTwin,EMEA#,Oct 2020,0
KingTwin,EMEA#,Nov 2020,0
KingTwin,EMEA#,Dec 2020,0
KingTwin,APAC#,Jan 2020,0
KingTwin,APAC#,Feb 2020,0
KingTwin,APAC#,Mar 2020,0
KingTwin,APAC#,Apr 2020,0
KingTwin,APAC#,May 2020,0
KingTwin,APAC#,Jun 2020,0
KingTwin,APAC#,Jul 2020,0
KingTwin,APAC#,Aug 2020,0
KingTwin,APAC#,Sep 2020,0
KingTwin,APAC#,Oct 2020,0
KingTwin,APAC#,Nov 2020,0
KingTwin,APAC#,Dec 2020,0
KingTwin,Total Market#,Jan 2020,0
KingTwin,Total Market#,Feb 2020,0
KingTwin,Total Market#,Mar 2020,0
KingTwin,Total Market#,Apr 2020,0
KingTwin,Total Market#,May 2020,0
KingTwin,Total Market#,Jun 2020,0
KingTwin,Total Market#,Jul 2020,0
KingTwin,Total Market#,Aug 2020,0
KingTwin,Total Market#,Sep 2020,0
KingTwin,Total Market#,Oct 2020,0
KingTwin,Total Market#,Nov 2020,0
KingTwin,Total Market#,Dec 2020,0
MegaTwin,US,Jan 2020,26
MegaTwin,US,Feb 2020,7
MegaTwin,US,Mar 2020,2
MegaTwin,US,Apr 2020,0
MegaTwin,US,May 2020,0
MegaTwin,US,Jun 2020,0
MegaTwin,US,Jul 2020,0
MegaTwin,US,Aug 2020,0
MegaTwin,US,Sep 2020,0
MegaTwin,US,Oct 2020,0
MegaTwin,US,Nov 2020,0
MegaTwin,US,Dec 2020,0
MegaTwin,Canada,Jan 2020,11
MegaTwin,Canada,Feb 2020,4
MegaTwin,Canada,Mar 2020,1
MegaTwin,Canada,Apr 2020,0
MegaTwin,Canada,May 2020,0
MegaTwin,Canada,Jun 2020,0
MegaTwin,Canada,Jul 2020,0
MegaTwin,Canada,Aug 2020,0
MegaTwin,Canada,Sep 2020,0
MegaTwin,Canada,Oct 2020,0
MegaTwin,Canada,Nov 2020,0
MegaTwin,Canada,Dec 2020,0
MegaTwin,Brazil,Jan 2020,32
MegaTwin,Brazil,Feb 2020,8
MegaTwin,Brazil,Mar 2020,2
MegaTwin,Brazil,Apr 2020,0
MegaTwin,Brazil,May 2020,0
MegaTwin,Brazil,Jun 2020,0
MegaTwin,Brazil,Jul 2020,0
MegaTwin,Brazil,Aug 2020,0
MegaTwin,Brazil,Sep 2020,0
MegaTwin,Brazil,Oct 2020,0
MegaTwin,Brazil,Nov 2020,0
MegaTwin,Brazil,Dec 2020,0
MegaTwin,Argentina,Jan 2020,35
MegaTwin,Argentina,Feb 2020,9
MegaTwin,Argentina,Mar 2020,2
MegaTwin,Argentina,Apr 2020,0
MegaTwin,Argentina,May 2020,0
MegaTwin,Argentina,Jun 2020,0
MegaTwin,Argentina,Jul 2020,0
MegaTwin,Argentina,Aug 2020,0
MegaTwin,Argentina,Sep 2020,0
MegaTwin,Argentina,Oct 2020,0
MegaTwin,Argentina,Nov 2020,0
MegaTwin,Argentina,Dec 2020,0
MegaTwin,UK,Jan 2020,14
MegaTwin,UK,Feb 2020,4
MegaTwin,UK,Mar 2020,1
MegaTwin,UK,Apr 2020,0
MegaTwin,UK,May 2020,0
MegaTwin,UK,Jun 2020,0
MegaTwin,UK,Jul 2020,0
MegaTwin,UK,Aug 2020,0
MegaTwin,UK,Sep 2020,0
MegaTwin,UK,Oct 2020,0
MegaTwin,UK,Nov 2020,0
MegaTwin,UK,Dec 2020,0
MegaTwin,France,Jan 2020,36
MegaTwin,France,Feb 2020,9
MegaTwin,France,Mar 2020,2
MegaTwin,France,Apr 2020,0
MegaTwin,France,May 2020,0
MegaTwin,France,Jun 2020,0
MegaTwin,France,Jul 2020,0
MegaTwin,France,Aug 2020,0
MegaTwin,France,Sep 2020,0
MegaTwin,France,Oct 2020,0
MegaTwin,France,Nov 2020,0
MegaTwin,France,Dec 2020,0
MegaTwin,Germany,Jan 2020,14
MegaTwin,Germany,Feb 2020,3
MegaTwin,Germany,Mar 2020,1
MegaTwin,Germany,Apr 2020,0
MegaTwin,Germany,May 2020,0
MegaTwin,Germany,Jun 2020,0
MegaTwin,Germany,Jul 2020,0
MegaTwin,Germany,Aug 2020,0
MegaTwin,Germany,Sep 2020,0
MegaTwin,Germany,Oct 2020,0
MegaTwin,Germany,Nov 2020,0
MegaTwin,Germany,Dec 2020,0
MegaTwin,Spain,Jan 2020,11
MegaTwin,Spain,Feb 2020,3
MegaTwin,Spain,Mar 2020,1
MegaTwin,Spain,Apr 2020,0
MegaTwin,Spain,May 2020,0
MegaTwin,Spain,Jun 2020,0
MegaTwin,Spain,Jul 2020,0
MegaTwin,Spain,Aug 2020,0
MegaTwin,Spain,Sep 2020,0
MegaTwin,Spain,Oct 2020,0
MegaTwin,Spain,Nov 2020,0
MegaTwin,Spain,Dec 2020,0
MegaTwin,Italy,Jan 2020,35
MegaTwin,Italy,Feb 2020,9
MegaTwin,Italy,Mar 2020,2
MegaTwin,Italy,Apr 2020,0
MegaTwin,Italy,May 2020,0
MegaTwin,Italy,Jun 2020,0
MegaTwin,Italy,Jul 2020,0
MegaTwin,Italy,Aug 2020,0
MegaTwin,Italy,Sep 2020,0
MegaTwin,Italy,Oct 2020,0
MegaTwin,Italy,Nov 2020,0
MegaTwin,Italy,Dec 2020,0
MegaTwin,China,Jan 2020,0
MegaTwin,China,Feb 2020,1
MegaTwin,China,Mar 2020,0
MegaTwin,China,Apr 2020,0
MegaTwin,China,May 2020,0
MegaTwin,China,Jun 2020,0
MegaTwin,China,Jul 2020,0
MegaTwin,China,Aug 2020,0
MegaTwin,China,Sep 2020,0
MegaTwin,China,Oct 2020,0
MegaTwin,China,Nov 2020,0
MegaTwin,China,Dec 2020,0
MegaTwin,Japan,Jan 2020,23
MegaTwin,Japan,Feb 2020,6
MegaTwin,Japan,Mar 2020,1
MegaTwin,Japan,Apr 2020,0
MegaTwin,Japan,May 2020,0
MegaTwin,Japan,Jun 2020,0
MegaTwin,Japan,Jul 2020,0
MegaTwin,Japan,Aug 2020,0
MegaTwin,Japan,Sep 2020,0
MegaTwin,Japan,Oct 2020,0
MegaTwin,Japan,Nov 2020,0
MegaTwin,Japan,Dec 2020,0
MegaTwin,Americas#,Jan 2020,0
MegaTwin,Americas#,Feb 2020,0
MegaTwin,Americas#,Mar 2020,0
MegaTwin,Americas#,Apr 2020,0
MegaTwin,Americas#,May 2020,0
MegaTwin,Americas#,Jun 2020,0
MegaTwin,Americas#,Jul 2020,0
MegaTwin,Americas#,Aug 2020,0
MegaTwin,Americas#,Sep 2020,0
MegaTwin,Americas#,Oct 2020,0
MegaTwin,Americas#,Nov 2020,0
MegaTwin,Americas#,Dec 2020,0
MegaTwin,EMEA#,Jan 2020,0
MegaTwin,EMEA#,Feb 2020,0
MegaTwin,EMEA#,Mar 2020,0
MegaTwin,EMEA#,Apr 2020,0
MegaTwin,EMEA#,May 2020,0
MegaTwin,EMEA#,Jun 2020,0
MegaTwin,EMEA#,Jul 2020,0
MegaTwin,EMEA#,Aug 2020,0
MegaTwin,EMEA#,Sep 2020,0
MegaTwin,EMEA#,Oct 2020,0
MegaTwin,EMEA#,Nov 2020,0
MegaTwin,EMEA#,Dec 2020,0
MegaTwin,APAC#,Jan 2020,0
MegaTwin,APAC#,Feb 2020,0
MegaTwin,APAC#,Mar 2020,0
MegaTwin,APAC#,Apr 2020,0
MegaTwin,APAC#,May 2020,0
MegaTwin,APAC#,Jun 2020,0
MegaTwin,APAC#,Jul 2020,0
MegaTwin,APAC#,Aug 2020,0
MegaTwin,APAC#,Sep 2020,0
MegaTwin,APAC#,Oct 2020,0
MegaTwin,APAC#,Nov 2020,0
MegaTwin,APAC#,Dec 2020,0
MegaTwin,Total Market#,Jan 2020,0
MegaTwin,Total Market#,Feb 2020,0
MegaTwin,Total Market#,Mar 2020,0
MegaTwin,Total Market#,Apr 2020,0
MegaTwin,Total Market#,May 2020,0
MegaTwin,Total Market#,Jun 2020,0
MegaTwin,Total Market#,Jul 2020,0
MegaTwin,Total Market#,Aug 2020,0
MegaTwin,Total Market#,Sep 2020,0
MegaTwin,Total Market#,Oct 2020,0
MegaTwin,Total Market#,Nov 2020,0
MegaTwin,Total Market#,Dec 2020,0
ST900,US,Jan 2020,17
ST900,US,Feb 2020,4
ST900,US,Mar 2020,1
